epoch,train_loss,train_acc,test_loss,test_acc
1,0.5945021411895752,78.23,0.461561373090744,82.96
2,0.4170929143746694,84.815,0.4562728603839874,84.22
3,0.38288419443766275,86.0,0.4055851997375488,85.38
4,0.35809219597180686,86.77666666666667,0.3800570835351944,86.47
5,0.33799633949597674,87.48,0.40687972931861877,85.42
6,0.32889430254300434,87.855,0.3570394103050232,87.2
7,0.3163765352725983,88.18333333333334,0.34728083691596984,87.56
8,0.30597358547846476,88.48166666666667,0.3842625933170319,85.77
9,0.29891863215764364,88.95333333333333,0.34642859725952146,87.38
10,0.28856634305318196,89.29,0.3509203527212143,87.81
11,0.2802413487990697,89.525,0.3348042902469635,87.8
12,0.27571279646555585,89.70666666666666,0.3523602147579193,87.57000000000001
13,0.2679262422084808,89.89166666666667,0.33238945145606996,88.19
14,0.2609176301956177,90.25999999999999,0.3535880927801132,87.7
15,0.25307026196320853,90.48833333333334,0.32712152047753335,88.22
