epoch,train_loss,train_acc,test_loss,test_acc
1,1.2977531239827473,49.211666666666666,0.8758303262710572,66.59
2,0.8419137676239014,67.58999999999999,0.7579032054901123,71.00999999999999
3,0.7595925385475158,70.66,0.7102692143917084,72.14
4,0.7102452775637309,72.72999999999999,0.6987437612533569,72.85000000000001
5,0.6808883054415384,74.03833333333333,0.6707985339641571,74.31
6,0.6489004565874735,74.93833333333333,0.655169920015335,75.4
7,0.623526241461436,76.23,0.6629257592201233,74.74
8,0.5984624122301737,77.15833333333333,0.6261208024978637,76.39
9,0.5813613065083821,77.86666666666666,0.6064563705444336,77.14
10,0.569726131772995,78.365,0.5896293128013611,77.92999999999999
11,0.5513926688830058,78.97,0.5679802703380584,78.52
12,0.5377411635398864,79.55166666666666,0.5740102678775787,79.0
13,0.5267787165959676,79.96666666666667,0.5774823006629943,78.7
14,0.5141726951917013,80.47666666666666,0.558733624458313,79.23
15,0.49896833252906797,81.07,0.5667609736442566,79.35
