epoch,train_loss,train_acc,test_loss,test_acc
1,1.2977531239827473,49.211666666666666,0.8170072713851929,69.63000000000001
2,0.8419137676239014,67.58999999999999,0.7025596399784089,73.07000000000001
3,0.7595925385475158,70.66,0.6741995205879211,74.45
4,0.7102452775637309,72.72999999999999,0.649855595779419,75.3
5,0.6808883054415384,74.03833333333333,0.6351921807765961,76.07000000000001
6,0.6489004565874735,74.93833333333333,0.6182880017280579,76.31
7,0.623526241461436,76.23,0.6594183469295501,74.88
8,0.5984624122301737,77.15833333333333,0.6035407155036926,77.55
9,0.5813613065083821,77.86666666666666,0.5880427538871765,77.95
10,0.569726131772995,78.365,0.5813121596813202,78.55
11,0.5513926688830058,78.97,0.5533458211898804,78.91
12,0.5377411635398864,79.55166666666666,0.5491130242586136,79.74
13,0.5267787165959676,79.96666666666667,0.5396005007743836,80.45
14,0.5141726951917013,80.47666666666666,0.5607602094650268,78.4
15,0.49896833252906797,81.07,0.5378753403186798,80.47999999999999
