epoch,train_loss,train_acc,test_loss,test_acc
1,0.5945021411895752,78.23,4.469438113403321,19.37
2,0.4170929143746694,84.815,4.5794547691345215,18.279999999999998
3,0.38288419443766275,86.0,4.758892817687988,18.490000000000002
4,0.35809219597180686,86.77666666666667,4.4509840591430665,17.93
5,0.33799633949597674,87.48,4.6264304931640625,17.83
6,0.32889430254300434,87.855,4.823130654144287,17.05
7,0.3163765352725983,88.18333333333334,4.937903332519531,18.14
8,0.30597358547846476,88.48166666666667,5.242672183227539,16.33
9,0.29891863215764364,88.95333333333333,5.386854431152344,17.51
10,0.28856634305318196,89.29,5.130288944244385,18.240000000000002
11,0.2802413487990697,89.525,5.336538105773926,17.39
12,0.27571279646555585,89.70666666666666,5.274477713012695,18.39
13,0.2679262422084808,89.89166666666667,5.321390338134766,18.22
14,0.2609176301956177,90.25999999999999,5.33290030670166,17.53
15,0.25307026196320853,90.48833333333334,5.557739775085449,17.22
